name,category,activity,halls,booths,latitude,longitude,leadScore
"افلاک مهر","آسانسور و بالابر","طراحی تامین نصب و راه اندازی انواع آسانسور","سالن ۳۸B","۳۸۲۰۲",35.79068,51.409,78
"توسعه تجهیزات صنعتی ایران","آسانسور و بالابر","آسانسور و بالابر","سالن ۴۱ بالا","۴۱۱۳.۱",35.7896,51.4096,78
"شرکت بالان صنعت","آسانسور و بالابر","تولید کننده انواع بالابر متحرک ثابت و جک پالت","سالن ۴۱ بالا","۴۱۲۶",35.78976,51.40955,84
"فرمان آرا غرب","آسانسور و بالابر","صنایع آسانسور","سالن ۶","۶۱۱",35.79258,51.408,78
"پادیر کاران آرشام","آسانسور و بالابر","ساخت نصب بالابر کلایمر ماشین روف و دسترسی نما","سالن ۶","۶۰۲",35.7927,51.40785,78
"پیشرو بالابر فارس","آسانسور و بالابر","تولید کننده انواع بالابرهای هیدرولیک و نردبان کشویی","سالن ۳۸B","۳۸۲۱۳",35.7902,51.4087,84
"آذرین استیل ابتکار","آشپزخانه","تجهیزات آشپزخانه","سالن ۳۱B","۳۱۱۰۷",35.79046,51.41115,78
"آراد فن آوری مهرگان","آشپزخانه","تولید تخصصی سینک گاز رومیزی و هود آشپزخانه","سالن ۳۱B","۳۱۱۱۵",35.79054,51.4108,84
"افرا تجارت پیشرو ایرانیان","آشپزخانه","لوازم جانبی حمام و دستشویی و آشپزخانه","سالن ۵","۵۱۹",35.79264,51.4071,78
"الماس بلورین ایرانیان","آشپزخانه","تولید کننده تجهیزات آشپزخانه گاز فر هود توکار","سالن ۳۱B","۳۱۱۱۰",35.79086,51.4108,84
"بهین صنعت فلز اسپرلوس","آشپزخانه","تولید کننده تجهیزات و اکسسوری خانه و آشپزخانه","سالن ۳۱B","۳۱۱۰۳",35.79078,51.41105,84
"سیمرغ تابان ایرانیان","آشپزخانه","تولید کننده تجهیزات آشپزخانه گاز فر هود توکار","سالن ۳۱B","۳۱۱۰۸",35.7909,51.41085,84
"شرکت آراز پارس کاریز","آشپزخانه","پخش ملزومات گاز و آب","سالن ۵","۵۰۳",35.79244,51.4073,78
"شرکت درویش پایا","آشپزخانه","تولید شیرهای توپی گازی بالوار","سالن ۷","۷۱۷",35.79218,51.40825,84
"شیرگاز ایران","آشپزخانه","تولید کننده انواع شیرهای بالولو آبی و گازی","سالن ۷","۷۰۹",35.79186,51.4084,84
"فولاد گستران زیما","آشپزخانه","تولید کننده سینک هود اجاق گاز فر مایکروویو","سالن ۳۱B","۳۱۱۱۳",35.7905,51.4112,84
"نماد نیکان صنعت","آشپزخانه","تولید اجاق گاز صفحه ای توکار هود فر سینک","سالن ۳۱B","۳۱۱۰۴",35.7903,51.41095,84
"گرانیت سازان پارس","آشپزخانه","تولید صفحات کورین و سینک ظرفشویی","سالن ۳۱A","۳۱۱۹.۱",35.79116,51.41065,84
"گروه تولیدی صنعتی ساراگاز","آشپزخانه","تولیدکننده تخصصی انواع شیرهای توپی گازی","سالن ۷","۷۰۵.۱",35.79198,51.4083,84
"ارس پولاد بین الملل","بتن و مصالح سازه","سیستم ها و سازه های بتنی و فولادی","سالن ۳۸A","۳۸۱۰۶",35.78988,51.408,78
"ارماک","بتن و مصالح سازه","تولید دستگاههای ثابت بلوک زنی سنگ فرش و جدول","سالن ۳۱A","۳۱۱۱",35.79124,51.4105,84
"افراز بتن سرمد","بتن و مصالح سازه","ساخت و تولید ماشین آلات تولید قطعات بتنی","فضای باز ۳۸","OP۳۸۰۶",35.78988,51.4068,84
"بتن خاک هنر خلاقیت","بتن و مصالح سازه","تولید محصولات بتنی اکسپوز پنل کف و نما و مبلمان شهری","فضای باز ۳۵","OP۳۵۱۰",35.7896,51.4066,84
"بتن سازه ضمان","بتن و مصالح سازه","تولید کننده انواع قالب فلزی بتن و داربست فلزی","فضای باز ۴۴","OP۴۴۰۳",35.78844,51.41075,84
"تولیدی صنعتی ام پیکو","بتن و مصالح سازه","سازنده انواع قالب بندی بتن و گریتینگ","سالن ۳۵","۳۵۱۱.۱",35.78924,51.40725,78
"تک سامان هور","بتن و مصالح سازه","تولید کننده برتر بلوک سبک سیمانی","سالن ۳۱A","۳۱۱۸",35.79064,51.41065,84
"تکسان سنگ سپهر ایرانیان","بتن و مصالح سازه","تولید کننده جی اف آر سی نما بتن اکسپوز مبلمان شهری","سالن ۳۸A","۳۸۱۰۸",35.78996,51.4081,84
"تیروتخته","بتن و مصالح سازه","تولید و پخش بلوک و مصالح ساختمانی","فضای باز ۳۵","OP۳۵۱۴",35.78904,51.40675,84
"سازان سنگ سالار","بتن و مصالح سازه","تولید کننده واش بتن آنتیک کف پوش فضای سبز","سالن ۳۸","۳۸۰۷",35.79028,51.40825,84
"سازه گستر مدحت","بتن و مصالح سازه","تولیدکننده انواع سیستم های قالب بندی بتن و داربست","سالن ۳۵","۳۵۱۵",35.78944,51.40725,84
"سدید سنگ سورنا","بتن و مصالح سازه","تولید کننده واش بتن آنتیک سنگ صنعتی موزائیک و بتن اکسپوز","فضای باز ۳۱","OP۳۱۰۴.۲",35.79116,51.4115,84
"شرکت بتن شیمی کاران گلپا","بتن و مصالح سازه","تولید کننده افزودنی بتن و مواد شیمیایی صنعت ساختمان","سالن ۴۰ بالا","۴۰۲۲",35.79156,51.4096,84
"شرکت توسعه پایدار سلمان","بتن و مصالح سازه","سازه های بتنی پیش ساخته صنعتی","فضای باز ۳۱","OP۳۱۰۳",35.7914,51.4115,78
"شرکت دیوار پوشش سیمان پارت","بتن و مصالح سازه","تولید کننده ورق های سیمانی الیافی اتوکلاو شده","سالن ۴۴B","۴۴۲۲۳.۳",35.7894,51.41,84
"شرکت ساختمانی تولیدی و پژوهشی آپتوس ایران","بتن و مصالح سازه","تولید کننده بتن آماده، کفپوش بتنی، جدول، بلوک و خانه پیش ساخته بتنی","سالن ۴۴A","۴۴۱۵",35.78872,51.40995,84
"شرکت سخت بتن بهین اترک","بتن و مصالح سازه","تولید کننده متریال کف سازی و افزودنی بتن","سالن ۴۴B","۴۴۲۲۳.۲",35.78924,51.41025,84
"شرکت صنایع خاک چینی ایران","بتن و مصالح سازه","تولید کننده بلوک و پانل سبک گازی اتوکلاو شده","سالن ۵","۵۰۷",35.79252,51.4074,84
"شرکت مهندسی بتن پلیمر برنا","بتن و مصالح سازه","تولید کننده انواع مواد شیمیایی ساختمان بتن و کفسازی صنعتی","سالن ۴۰ بالا","۴۰۲۵",35.7916,51.40935,84
"شرکت پایدار سازه رادیس دماوند","بتن و مصالح سازه","عمده فروشی سیمان","فضای باز ۳۸","OP۳۸۰۴",35.78976,51.4069,78
"شرکت کارآفرینان دانش ساختمان","بتن و مصالح سازه","تولید و فروش والپست میلگرد بستر و لوازم دیوارچینی","سالن ۳۸","۳۸۰۶",35.79012,51.4085,84
"صبابرد","بتن و مصالح سازه","تولید ورق سیمانی الیاف دار","سالن ۳۸B","۳۸۲۰۶.۲",35.79068,51.4087,84
"صنایع توز ایران","بتن و مصالح سازه","بزرگترین سازنده دستگاه های بلوک زن ساختمانی","فضای باز ۷","OP۷۰۴",35.793,51.4066,78
"صنعت بتن آذرسهند","بتن و مصالح سازه","تولید کننده بلوک سبک پومیس سنگفرش و جدول بتنی","سالن ۳۱A","۳۱۱۱.۱",35.7906,51.41055,84
"لرزان صنعت ایرانیان","بتن و مصالح سازه","ماشین آلات و ابزار آلات بتن ریزی","فضای باز ۳۸","OP۳۸۰۳",35.7898,51.40715,78
"معماری پایدار فرا معماری و گرین تک","بتن و مصالح سازه","تولید بتن و قطعات بتنی با قابلیت کاشت گل و گیاه","سالن ۳۸B","۳۸۲۱۸.۱",35.79044,51.40865,84
"نانو نخ و گرانول سیرجان","بتن و مصالح سازه","تولید الیاف و افزودنی های بتن برند کورتا","سالن ۴۰ همکف","۴۰۰۴.۱",35.79164,51.4089,84
"نوین سبک ساز سبلان","بتن و مصالح سازه","تولید کننده قطعات بتنی سنگفرش جدول بلوک نیوجرسی و اکسپوز","سالن ۴۴A","۴۴۱۳",35.78872,51.4098,84
"کارخانه صنایع مفتولی آهن بان گستر کوثر","بتن و مصالح سازه","تولیدکننده میلگرد بستر والپست و متعلقات","فضای باز ۳۱","OP۳۱۰۹.۱",35.79104,51.41155,84
"کارو سازه سورنا","بتن و مصالح سازه","تولید کننده والپست میلگرد بستر و لوازم دیوارچینی","سالن ۴۴B","۴۴۲۰۷",35.78944,51.41,84
"گروه صنعتی و بازرگانی کرودور ایرانیان","بتن و مصالح سازه","کفسازی صنعتی و فروش افزودنیهای بتن","سالن ۵","۵۲۳",35.79272,51.40715,78
"آذرفلز تابان شمس","برق و روشنایی","تولید فروش و اجرای حصار پانلی تور حصاری سیم تیغدار","سالن ۳۸A","۳۸۱۰۱.۱",35.79012,51.4082,84
"آراز کابل ایرانیان","برق و روشنایی","تولید و فروش سیم و کابل","سالن ۴۱ بالا","۴۱۲۴",35.78992,51.40965,84
"آرتا پیشرو آرش فراز","برق و روشنایی","تولید کننده کابین آسانسور و پله برقی","سالن ۳۸","۳۸۱۵",35.79052,51.40845,84
"آرمه پاک نو","برق و روشنایی","طراحی و تولید روشنایی مگنتی مولتی ترک خطی و اسپات","سالن ۴۱ بالا","۴۱۲۰",35.78984,51.4099,84
"ابزار کهن","برق و روشنایی","تولید کننده قفل های ساختمانی فولادی امنیتی و برقی","سالن ۴۴B","۴۴۲۰۸",35.78936,51.4101,84
"اهورا سازه پایا","برق و روشنایی","دستگیره های دیجیتال و کلید پریز پیشرفته","سالن ۳۸B","۳۸۲۲۶",35.79052,51.4087,78
"ایریک کابل افق","برق و روشنایی","تولید کننده انواع سیم وکابل مسی","سالن ۴۱ همکف","۴۱۰۹",35.78964,51.4093,84
"برون تاب انرژی","برق و روشنایی","تفکیک هوشمند و قبض دهی مصارف آب برق گاز","سالن ۳۵","۳۵۲۳",35.78948,51.40725,78
"توسعه آروین الکترونیک پارس ا سیمند کابل","برق و روشنایی","تولید کننده کابل های برق و تخصصی","سالن ۳۸","۳۸۲۱",35.79012,51.4083,84
"دیزل مولد امید","برق و روشنایی","ساخت مولدهای برق دیزلی و گازی و اتاقک سایلنت","فضای باز ۵","OP۵۰۴",35.79308,51.40605,78
"راهدار صنعت کیهان","برق و روشنایی","اولین تولید کننده تخصصی کابل های سیلیکونی و مقاوم در برابر حریق","سالن ۴۱ بالا","۴۱۳۴",35.7898,51.40985,84
"رفاه آوران پایدار کسری","برق و روشنایی","تولیدکننده تخصصی انواع جارو برقی از خانه تا صنعت","فضای باز ۳۸","OP۳۸۰۱",35.78972,51.40705,84
"زرکابل الکتریک رسانا","برق و روشنایی","تولید کننده انواع سیم و کابل فشار ضعیف و متوسط","سالن ۴۱ بالا","۴۱۱۸",35.78984,51.4095,84
"سندیکا صنعت برق ایران","برق و روشنایی","تشکل صنفی صنعت برق ایران","سالن ۴۱ بالا","۴۱۳۳",35.79,51.4097,58
"سیلیکون ناب","برق و روشنایی","تولید چسب های سیلیکونی پروفیل اکسترودری سیم و کابل","سالن ۳۱A","۳۱۱۷",35.791,51.4105,84
"سیم و کابل حمید رضا ذاکری","برق و روشنایی","تولید کننده سیم و کابل مسی و آلومینیومی","فضای باز ۴۱","OP۴۴۱۳",35.78972,51.41075,84
"سیمین صنعت رسانا","برق و روشنایی","تولید کننده انواع سیم و کابل صنعتی و ساختمانی","سالن ۴۱ همکف","۴۱۰۵",35.79016,51.40955,84
"شرکت اعتماد کابل","برق و روشنایی","تولید کننده انواع مقاطع سیم و کابل های مسی و آلومینیومی","سالن ۴۱ بالا","۴۱۲۵",35.78988,51.40955,84
"شرکت توسن الکتریک ایرسا","برق و روشنایی","تولید انواع سیم و کابل برق ساختمانی و صنعتی","سالن ۳۸","۳۸۰۳",35.79004,51.4084,84
"شرکت تولیدی و صنعتی قفل پنج ستاره لنگر","برق و روشنایی","تولیدکننده انواع قفل های حیاطی، برقی، کلیدی و ضد سرقت","سالن ۴۴B","۴۴۲۰۶",35.78884,51.41035,84
"شرکت دوران صنعت ترکان","برق و روشنایی","تولیدکننده اجاق های برقی المنتی و القایی","سالن ۳۵","۳۵۱۸",35.78956,51.4074,84
"شرکت زرسیم","برق و روشنایی","تولید کننده سیم و کابل فشار ضعیف مسی","سالن ۴۱ همکف","۴۱۱۰",35.79,51.4094,84
"شرکت سیما صنعت نور ایرانیان","برق و روشنایی","تولید کننده انواع سیم و کابل استاندارد","سالن ۴۱ همکف","۴۱۰۱",35.79024,51.4094,84
"شرکت صنعتی فردشاهین","برق و روشنایی","صنایع مفتولی تولید مفتول سیم خاردار فنس و مش","سالن ۳۸A","۳۸۱۱۷",35.79008,51.40825,84
"شرکت فراز صعود الماس","برق و روشنایی","طراحی مونتاژ اجرا و راه اندازی آسانسور و پله برقی","سالن ۶","۶۱۴",35.79218,51.40775,78
"شرکت فنی مهندسی برق صنعت بخش شاکری","برق و روشنایی","مجری نیروگاه های برق خورشیدی و برق اضطراری","سالن ۴۱ بالا","۴۱۱۵",35.78948,51.4099,78
"شهر هوشمند گیلسا","برق و روشنایی","هوشمند سازی ساختمان تولید کلیدهای لمسی هوشمند","سالن ۴۱ همکف","۴۱۱۱",35.79024,51.40925,84
"صنایع روشنایی تکشیدفام شب افروز","برق و روشنایی","تولید چراغهای محوطه ای و باغی دایکاست","سالن ۴۱ بالا","۴۱۲۳.۱",35.79004,51.4098,84
"صنایع روشنایی روشنا شکوه تجارت","برق و روشنایی","طراح و تولید کننده چراغ های پارکی و خیابانی و مبلمان شهری","سالن ۴۱ بالا","۴۱۳۶",35.78988,51.40955,84
"صنایع سیم وکابل مشهد","برق و روشنایی","تولید کننده انواع سیم و کابل","سالن ۴۱ همکف","۴۱۰۲",35.79008,51.4092,84
"صنایع مفتولی میهن نور","برق و روشنایی","تولید مفتول گالوانیزه توری مرغی سیم خاردار","سالن ۳۸A","۳۸۱۰۴",35.78996,51.4083,84
"صنایع پیش تنیده خوانسار","برق و روشنایی","تولید کننده مفتول و کابل های پیش تنیدگی","سالن ۳۸A","۳۸۱۱۱.۱",35.79,51.40795,84
"فرسان نیرو کارا","برق و روشنایی","طراحی تولید و اجرای تابلوهای برق فشار ضعیف و متوسط","سالن ۴۱ همکف","۴۱۰۸",35.79016,51.4095,84
"فناوری تجارت سبز دهکده انرژی","برق و روشنایی","برق اضطراری و انرژی خورشیدی","سالن ۴۱ بالا","۴۱۱۷.۱",35.78992,51.4097,78
"لینکو","برق و روشنایی","تولید کننده سیم و کابل","سالن ۳۸","۳۸۲۰",35.7904,51.4085,84
"مانا صنعت پایدار","برق و روشنایی","تولید بوستر پمپ و تابلو برق بوستر پمپ آتش نشانی","فضای باز ۳۵","OP۳۵۱۱",35.78964,51.40665,84
